name,brand,price
Front To Back Fringe Cashmere Cardigan,FORTE, $75.00 
Long Sleeve Button Front Shirt Fringe Hem,WORKSHOP, $10.00 
Juniors Faux Suede Moto Jacket,BB DAKOTA, $20.00 
Ribbon Lace Midi Dress,MAX STUDIO, $22.00 
Faux Leather Blazer,WILLOW & CLAY, $22.00 
Velvet Wrap Midi Dress,AVEC LES FILLES, $15.00 
Juniors Half Zip Woobie Pullover Jacket,SHINESTAR, $12.00 
Hexdelta Tee,Reveal Designer , $10.00 
Jackie Anorak Coat,PAJAR, $75.00 
Merino Wool Blend Reversible Jacquard Cocoon Cardigan,HANNAH ROSE, $69.00 
Threadborne Streaker Tee,Reveal Designer , $10.00 
Moss Jersey Soft Tank,KYODAN, $7.00 
High Neck Release Bra,Reveal Designer , $10.00 
Freed Hearts Textured Cardigan,RAGA, $29.00 
Juniors Zebra Printed Tank,JAPNA, $10.00 
Everest Striped Mock Neck Sweater,SPLENDID, $29.00 
Made In Italy Floral Print Dress,COOLPLES, $29.00 
Power Bra,Reveal Designer , $12.00 
Geo Leggings,BODY LANGUAGE, $15.00 
Metallic Jumpsuit,AVEC LES FILLES, $29.00 
Stretch Crepe Sheath Dress,KASPER, $29.00 
Juniors Wool Blend Zip Jacket,COFFEE SHOP, $29.00 
Long Poncho With Novelty Fabric,COLORBROOK, $15.00 
Wide Leg Jumpsuit,ADRIANNA PAPELL, $39.00 
Juniors Washed Faux Silk Tank,SHINESTAR, $10.00 
Made In USA The Wray Wide Leg Jeans,CURRENT/ELLIOTT, $29.00 
Belted Jacket,Reveal Designer , $49.00 
Plus Double Teddy Bear Pea Coat,KENSIE, $39.00 
Boat Neck Cold Shoulder Dolman Top,CABLE & GAUGE, $7.00 
Plus Chiffon Fringe Trim Skirt,ELVI, $15.00 
Embroidered Soutache Long Gown,JS COLLECTIONS, $59.00 
Made In USA Embroidered Sequin Halter Dress,MARINA, $29.00 
Made In Italy All Over Dot Intarsia Dress,BENEDETTA B., $39.00 
Coldgear Half Zip Top,Reveal Designer , $15.00 
Juniors Buffalo Plaid Coat,SHINESTAR, $15.00 
Juniors Faux Leather Jacket,JACK BY BB DAKOTA, $15.00 
Juniors Denim Jacket,JOU JOU, $20.00 
Juniors Elastic Waist Midi Skirt,WHITE CLOSET, $12.00 
Plus Faux Wrap Dress With Fringe,BETSEY JOHNSON, $39.00 
Side Bow Long Gown,ADRIANNA PAPELL, $49.00 
Jacquard Jacket,KASPER, $20.00 
All Over Lace Jumpsuit,MARINA, $43.00 
Made In Italy Houndstooth Intarsia Top Sweater Dress,CHIARAMENTE, $20.00 
Scuba Crepe V-neck Midi Dress,Reveal Designer , $22.00 
Twin Sweater Set Collection,ANNE KLEIN, $20.00 
Slim Denim Jacket,J BRAND, $39.00 
Printed Top With Tie Collar,TAHARI, $12.00 
Drawstring Waist Jacket,VINCE CAMUTO, $49.00 
Juniors Tiger Print Dress,JAPNA, $15.00 
High Waisted Belted Denim Skirt,D. JEANS, $10.00 
Threadborne Train Graphic Twist Top,Reveal Designer , $10.00 
Hit The Road Long Cardigan,SANCTUARY, $20.00 
Plus Dress With Jacket Collection,NINE WEST, $20.00 
Made In Italy Wool Blend Sweater Dress,ELISABETTA, $29.00 
Short Sleeve Lace Trim Top,FAITH AND JOY, $7.00 
Twisted Back Tank,C&C CALIFORNIA, $10.00 
Long Topper Jacket,Reveal Designer , $59.00 
Juniors Camo Cargo Pants,ASHLEY MASON, $15.00 
Volume Sleeve Sweater,NICOLE MILLER NEW YORK, $15.00 
Juniors Midi Satin Skirt,WHITE CLOSET, $12.00 
Drop Shoulder Hooded Dress,CG CABLE & GAUGE, $15.00 
Solid Bra,Reveal Designer , $10.00 
Made In Italy Wool Blend Houndstooth Dress,BENEDETTA B., $39.00 
Plaid 2 Pocket Topper,Reveal Designer , $39.00 
Made In USA Scoop Neck Top,SNOW ANGEL, $12.00 
Made In Italy Stripe Sweater Dress,CHIARAMENTE, $20.00 
Made In USA Gathered Ruffle Sleeve Crepe Top,GREEN ENVELOPE, $12.00 
Ombre Striped Open Cardigan,MAX STUDIO, $22.00 
Pearl Embellished Skinny Jeans,SEVEN7, $20.00 
Drape Jacket,BAGATELLE, $22.00 
Juniors Smocked Snake Long Sleeve Top,JAPNA, $10.00 
Floral Embroidery Long Gown,JS COLLECTIONS, $59.00 
Merino Wool Blend Drape Back Cardigan,Reveal Designer , $50.00 
Pleated Velvet Detail Midi Dress,AVEC LES FILLES, $15.00 
Pointelle Trim Sweater Shell,Reveal Designer , $20.00 
Twisting Cable Pullover Sweater,Reveal Designer , $79.00 
Woven Front Knit Back Pants,VINA, $12.00 
Plus Satin Dress,TAYLOR, $29.00 
Solid Crew Neck Pullover Sweater,Reveal Designer , $22.00 
Juniors Zebra Bandage Skirt,SHINESTAR, $10.00 
Plus Wool Zip Front Cape,Reveal Designer , $29.00 
Plus Pebble Crepe Skirt Suit With Jacket,TAHARI BY ASL, $59.00 
Plus Made In Italy Wool Blend Swing Coat,CINZIA ROCCA, $199.00 
Made In USA Cowl Back Cocktail Dress,BEBE, $15.00 
Juniors Elastic Waist Skirt,WHITE CLOSET, $12.00 
Seamless Logo Band Bra,Reveal Designer , $10.00 
Utility Drape Jacket,BAGATELLE, $15.00 
Faux Suede Tummy Control Basic Pants,FOR CYNTHIA, $22.00 
